trade_id,timestamp,resting_order_id,aggressor_order_id,aggressor_side,price,quantity,strategy_name,position_after,cash_after,equity_after
1,1700000008,1008,1000000,BID,100.180000,2,MovingAverageCrossStrategy,2,999799.640000,1000000.000000
2,1700000009,1008,1000001,BID,100.180000,2,MovingAverageCrossStrategy,4,999599.280000,1000000.000000
3,1700000010,1010,1000002,BID,100.160000,2,MovingAverageCrossStrategy,6,999398.960000,999999.920000
4,1700000012,1010,1000003,BID,100.160000,2,MovingAverageCrossStrategy,8,999198.640000,999999.920000
5,1700000014,1012,1000004,BID,100.150000,2,MovingAverageCrossStrategy,10,998998.340000,999999.840000
6,1700000016,1013,1000006,ASK,100.120000,2,MovingAverageCrossStrategy,8,999198.580000,999999.540000
7,1700000017,1015,1000007,ASK,100.140000,2,MovingAverageCrossStrategy,6,999398.860000,999999.700000
8,1700000019,1015,1000008,ASK,100.140000,2,MovingAverageCrossStrategy,4,999599.140000,999999.700000
9,1700000020,1017,1000009,ASK,100.150000,2,MovingAverageCrossStrategy,2,999799.440000,999999.740000
10,1700000021,1017,1000010,ASK,100.150000,2,MovingAverageCrossStrategy,0,999999.740000,999999.740000
11,1700000022,1016,1000011,BID,100.140000,2,MovingAverageCrossStrategy,2,999799.460000,999999.740000
12,1700000024,1016,1000012,BID,100.140000,2,MovingAverageCrossStrategy,4,999599.180000,999999.740000
13,1700000025,1012,1000013,BID,100.150000,2,MovingAverageCrossStrategy,6,999398.880000,999999.780000
14,1700000026,1021,1000014,ASK,100.180000,2,MovingAverageCrossStrategy,4,999599.240000,999999.960000
15,1700000027,1012,1000015,BID,100.150000,1,MovingAverageCrossStrategy,5,999499.090000,999999.890000
16,1700000027,1018,1000015,BID,100.160000,1,MovingAverageCrossStrategy,6,999398.930000,999999.890000
17,1700000028,1018,1000016,BID,100.160000,2,MovingAverageCrossStrategy,8,999198.610000,999999.890000
18,1700000030,1018,1000017,BID,100.160000,2,MovingAverageCrossStrategy,10,998998.290000,999999.890000
19,1700000033,1027,1000020,ASK,100.240000,2,MovingAverageCrossStrategy,8,999198.770000,1000000.690000
20,1700000034,1014,1000021,BID,100.170000,2,MovingAverageCrossStrategy,10,998998.430000,1000000.130000
21,1700000038,1031,1000024,ASK,100.280000,2,MovingAverageCrossStrategy,8,999198.990000,1000001.230000
22,1700000039,1014,1000025,BID,100.170000,2,MovingAverageCrossStrategy,10,998998.650000,1000000.350000
23,1700000043,1035,1000028,ASK,100.310000,2,MovingAverageCrossStrategy,8,999199.270000,1000001.750000
